month,month_name,year,segment,metric,value
10,October,2024,domestic,arrivals,223037.0
10,October,2024,domestic,nights,455315.0
10,October,2024,foreign,arrivals,897781.0
10,October,2024,foreign,nights,2995663.0
10,October,2024,total,arrivals,1120818.0
10,October,2024,total,nights,3450978.0
11,November,2024,domestic,arrivals,203016.0
11,November,2024,domestic,nights,389604.0
11,November,2024,foreign,arrivals,241218.0
11,November,2024,foreign,nights,599354.0
11,November,2024,total,arrivals,444234.0
11,November,2024,total,nights,988958.0
12,December,2024,domestic,arrivals,171990.0
12,December,2024,domestic,nights,318105.0
12,December,2024,foreign,arrivals,238348.0
12,December,2024,foreign,nights,562203.0
12,December,2024,total,arrivals,410338.0
12,December,2024,total,nights,880308.0
1,January,2025,domestic,arrivals,124887.0
1,January,2025,domestic,nights,267891.0
1,January,2025,foreign,arrivals,132418.0
1,January,2025,foreign,nights,382424.0
1,January,2025,total,arrivals,257305.0
1,January,2025,total,nights,650315.0
2,February,2025,domestic,arrivals,154409.0
2,February,2025,domestic,nights,301259.0
2,February,2025,foreign,arrivals,158597.0
2,February,2025,foreign,nights,406549.0
2,February,2025,total,arrivals,313006.0
2,February,2025,total,nights,707808.0
3,March,2025,domestic,arrivals,173547.0
3,March,2025,domestic,nights,346377.0
3,March,2025,foreign,arrivals,259856.0
3,March,2025,foreign,nights,655897.0
3,March,2025,total,arrivals,433403.0
3,March,2025,total,nights,1002274.0
4,April,2025,domestic,arrivals,227662.0
4,April,2025,domestic,nights,477471.0
4,April,2025,foreign,arrivals,956215.0
4,April,2025,foreign,nights,2808781.0
4,April,2025,total,arrivals,1183877.0
4,April,2025,total,nights,3286252.0
5,May,2025,domestic,arrivals,332573.0
5,May,2025,domestic,nights,748480.0
5,May,2025,foreign,arrivals,1510152.0
5,May,2025,foreign,nights,5120805.0
5,May,2025,total,arrivals,1842725.0
5,May,2025,total,nights,5869285.0
6,June,2025,domestic,arrivals,346703.0
6,June,2025,domestic,nights,1074332.0
6,June,2025,foreign,arrivals,2834013.0
6,June,2025,foreign,nights,13265842.0
6,June,2025,total,arrivals,3180716.0
6,June,2025,total,nights,14340174.0
7,July,2025,domestic,arrivals,382390.0
7,July,2025,domestic,nights,1754644.0
7,July,2025,foreign,arrivals,3976127.0
7,July,2025,foreign,nights,23207436.0
7,July,2025,total,arrivals,4358517.0
7,July,2025,total,nights,24962080.0
8,August,2025,domestic,arrivals,466162.0
8,August,2025,domestic,nights,2322384.0
8,August,2025,foreign,arrivals,4248496.0
8,August,2025,foreign,nights,24389412.0
8,August,2025,total,arrivals,4714658.0
8,August,2025,total,nights,26711796.0
9,September,2025,domestic,arrivals,256545.0
9,September,2025,domestic,nights,724409.0
9,September,2025,foreign,arrivals,2157215.0
9,September,2025,foreign,nights,11157971.0
9,September,2025,total,arrivals,2413760.0
9,September,2025,total,nights,11882380.0
10,October,2025,domestic,arrivals,239376.0
10,October,2025,domestic,nights,480248.0
10,October,2025,foreign,arrivals,906770.0
10,October,2025,foreign,nights,3054900.0
10,October,2025,total,arrivals,1146146.0
10,October,2025,total,nights,3535148.0
11,November,2025,domestic,arrivals,196216.0
11,November,2025,domestic,nights,379783.0
11,November,2025,foreign,arrivals,218139.0
11,November,2025,foreign,nights,551888.0
11,November,2025,total,arrivals,414355.0
11,November,2025,total,nights,931671.0
12,December,2025,domestic,arrivals,
12,December,2025,domestic,nights,
12,December,2025,foreign,arrivals,
12,December,2025,foreign,nights,
12,December,2025,total,arrivals,
12,December,2025,total,nights,
