spatial_unit,year,Number of Permanent Beds per 100 inhabitants,area_km2,arrivals,arrivals_per_100,arrivals_per_km2,avg_nights_per_arrival,avg_nights_per_bed,beds_per_km2,nights,nights_per_100,nights_per_km2,permanent_beds,pop_per_km2,population_census,spatial_level,county_key
Bizovac,2024,3.8,100.59,,,,,,1.4,,,,142.0,37.0,3733.0,municipality,bizovac
Bjelovar,2021,0.6,187.86,2904.0,8.0,15.5,2.3,28.8,1.3,6795.0,18.7,36.2,236.0,193.0,36316.0,municipality,bjelovar
Bjelovar,2022,0.9,187.86,4528.0,12.5,24.1,2.2,31.5,1.7,10145.0,27.9,54.0,322.0,193.0,36316.0,municipality,bjelovar
Bjelovar,2023,1.0,187.86,7842.0,21.6,41.7,2.1,45.5,1.9,16368.0,45.1,87.1,360.0,193.0,36316.0,municipality,bjelovar
Bjelovar,2024,1.8,187.86,8540.0,23.5,45.5,2.3,30.4,3.4,19499.0,53.7,103.8,642.0,193.0,36316.0,municipality,bjelovar
Blato,2021,86.9,66.54,18584.0,558.1,279.3,9.4,60.5,43.5,175259.0,5263.0,2633.9,2895.0,50.0,3330.0,municipality,blato
Blato,2022,90.1,66.54,20307.0,609.8,305.2,9.3,63.3,45.1,189778.0,5699.0,2852.1,3000.0,50.0,3330.0,municipality,blato
Blato,2023,90.7,66.54,21412.0,643.0,321.8,8.9,63.4,45.4,191627.0,5754.6,2879.9,3021.0,50.0,3330.0,municipality,blato
Blato,2024,95.7,66.54,21788.0,654.3,327.4,8.9,60.8,47.9,193559.0,5812.6,2908.9,3186.0,50.0,3330.0,municipality,blato
Bogdanovci,2021,,51.62,,,,,,,,,,,29.0,1545.0,municipality,bogdanovci
Bogdanovci,2022,,51.62,,,,,,,,,,,29.0,1545.0,municipality,bogdanovci
Bogdanovci,2023,,51.62,,,,,,,,,,,29.0,1545.0,municipality,bogdanovci
Bogdanovci,2024,0.3,51.62,,,,,,0.1,,,,4.0,29.0,1545.0,municipality,bogdanovci
Bol,2021,361.3,23.33,71689.0,4272.3,3072.8,5.7,67.1,259.8,406854.0,24246.4,17439.1,6062.0,71.0,1678.0,municipality,bol
Bol,2022,383.8,23.33,93018.0,5543.4,3987.1,5.5,78.7,276.0,507055.0,30217.8,21734.0,6440.0,71.0,1678.0,municipality,bol
Bol,2023,390.9,23.33,103938.0,6194.2,4455.1,5.2,83.1,281.1,545204.0,32491.3,23369.2,6559.0,71.0,1678.0,municipality,bol
Bol,2024,382.1,23.33,110601.0,6591.2,4740.7,5.3,90.7,274.8,581199.0,34636.4,24912.1,6411.0,71.0,1678.0,municipality,bol
Borovo,2021,0.1,28.2,,,,,,0.1,,,,2.0,126.0,3555.0,municipality,borovo
Borovo,2022,0.1,28.2,,,,,,0.1,,,,2.0,126.0,3555.0,municipality,borovo
Borovo,2023,0.1,28.2,,,,,,0.1,,,,2.0,126.0,3555.0,municipality,borovo
Borovo,2024,0.1,28.2,,,,,,0.1,,,,2.0,126.0,3555.0,municipality,borovo
Bosiljevo,2021,8.7,111.46,1077.0,103.6,9.7,2.6,31.1,0.8,2795.0,268.8,25.1,90.0,9.0,1040.0,municipality,bosiljevo
Bosiljevo,2022,8.0,111.46,1306.0,125.6,11.7,2.9,44.9,0.7,3726.0,358.3,33.4,83.0,9.0,1040.0,municipality,bosiljevo
Bosiljevo,2023,8.0,111.46,1546.0,148.7,13.9,3.2,58.8,0.7,4878.0,469.0,43.8,83.0,9.0,1040.0,municipality,bosiljevo
Bosiljevo,2024,7.9,111.46,1330.0,127.9,11.9,2.9,47.1,0.7,3862.0,371.3,34.6,82.0,9.0,1040.0,municipality,bosiljevo
Bošnjaci,2021,1.0,94.99,390.0,13.6,4.1,1.3,18.3,0.3,511.0,17.8,5.4,28.0,30.0,2868.0,municipality,bosnjaci
Bošnjaci,2022,1.0,94.99,698.0,24.3,7.3,1.6,37.5,0.3,1125.0,39.2,11.8,30.0,30.0,2868.0,municipality,bosnjaci
Bošnjaci,2023,1.4,94.99,700.0,24.4,7.4,1.8,31.8,0.4,1242.0,43.3,13.1,39.0,30.0,2868.0,municipality,bosnjaci
Bošnjaci,2024,1.4,94.99,459.0,16.0,4.8,1.5,17.4,0.4,679.0,23.7,7.1,39.0,30.0,2868.0,municipality,bosnjaci
Brckovljani,2021,0.3,69.83,397.0,6.8,5.7,2.7,56.2,0.3,1068.0,18.2,15.3,19.0,84.0,5876.0,municipality,brckovljani
Brckovljani,2022,0.3,69.83,160.0,2.7,2.3,5.4,45.1,0.3,857.0,14.6,12.3,19.0,84.0,5876.0,municipality,brckovljani
Brckovljani,2023,0.4,69.83,,,,,,0.3,,,,23.0,84.0,5876.0,municipality,brckovljani
Brckovljani,2024,0.4,69.83,136.0,2.3,1.9,4.3,25.7,0.3,590.0,10.0,8.4,23.0,84.0,5876.0,municipality,brckovljani
Brdovec,2021,0.3,37.23,318.0,3.0,8.5,1.2,14.7,0.7,396.0,3.7,10.6,27.0,288.0,10737.0,municipality,brdovec
Brdovec,2022,0.2,37.23,,,,,,0.5,,,,18.0,288.0,10737.0,municipality,brdovec
Brdovec,2023,0.3,37.23,418.0,3.9,11.2,1.3,17.8,0.8,553.0,5.2,14.9,31.0,288.0,10737.0,municipality,brdovec
Brdovec,2024,0.3,37.23,761.0,7.1,20.4,1.5,34.9,0.9,1118.0,10.4,30.0,32.0,288.0,10737.0,municipality,brdovec
Brela,2021,417.9,26.8,74027.0,4552.7,2762.2,7.0,76.7,253.5,521132.0,32049.9,19445.2,6795.0,60.0,1626.0,municipality,brela
