spatial_unit,year,Number of Permanent Beds per 100 inhabitants,area_km2,arrivals,arrivals_per_100,arrivals_per_km2,avg_nights_per_arrival,avg_nights_per_bed,beds_per_km2,nights,nights_per_100,nights_per_km2,permanent_beds,pop_per_km2,population_census,spatial_level,county_key
Novalja,2024,704.8,95.69,295223.0,8022.4,3085.2,6.2,70.9,271.0,1839322.0,49981.6,19221.7,25935.0,38.0,3680.0,municipality,novalja
Novi Golubovec,2021,,13.68,,,,,,,,,,,60.0,824.0,municipality,novi golubovec
Novi Golubovec,2022,,13.68,,,,,,,,,,,60.0,824.0,municipality,novi golubovec
Novi Golubovec,2023,,13.68,,,,,,,,,,,60.0,824.0,municipality,novi golubovec
Novi Golubovec,2024,,13.68,,,,,,,,,,,60.0,824.0,municipality,novi golubovec
Novi Marof,2021,6.5,111.86,1189.0,10.1,10.6,3.1,4.7,6.9,3643.0,30.9,32.6,769.0,105.0,11795.0,municipality,novi marof
Novi Marof,2022,3.2,111.86,1099.0,9.3,9.8,4.2,11.9,3.4,4566.0,38.7,40.8,383.0,105.0,11795.0,municipality,novi marof
Novi Marof,2023,0.8,111.86,1284.0,10.9,11.5,4.1,56.2,0.8,5226.0,44.3,46.7,93.0,105.0,11795.0,municipality,novi marof
Novi Marof,2024,0.9,111.86,1092.0,9.3,9.8,4.4,46.8,0.9,4775.0,40.5,42.7,102.0,105.0,11795.0,municipality,novi marof
Novi Vinodolski,2021,265.9,261.38,101236.0,2339.1,387.3,5.1,45.2,44.0,520128.0,12017.7,1989.9,11508.0,16.0,4328.0,municipality,novi vinodolski
Novi Vinodolski,2022,267.2,261.38,129689.0,2996.5,496.2,5.1,57.7,44.2,667028.0,15411.9,2551.9,11566.0,16.0,4328.0,municipality,novi vinodolski
Novi Vinodolski,2023,265.7,261.38,126213.0,2916.2,482.9,5.0,54.5,44.0,626249.0,14469.7,2395.9,11500.0,16.0,4328.0,municipality,novi vinodolski
Novi Vinodolski,2024,262.7,261.38,135466.0,3130.0,518.3,4.9,57.8,43.5,657115.0,15182.9,2514.0,11369.0,16.0,4328.0,municipality,novi vinodolski
Novigrad,2021,51.9,51.16,6082.0,281.6,118.9,7.7,41.9,21.9,47067.0,2179.0,920.0,1122.0,42.0,2160.0,municipality,novigrad
Novigrad,2022,54.0,51.16,8056.0,373.0,157.5,7.5,51.8,22.8,60469.0,2799.5,1182.0,1167.0,42.0,2160.0,municipality,novigrad
Novigrad,2023,54.9,51.16,8078.0,374.0,157.9,7.5,50.9,23.2,60309.0,2792.1,1178.8,1185.0,42.0,2160.0,municipality,novigrad
Novigrad,2024,56.3,51.16,7650.0,354.2,149.5,7.0,43.9,23.7,53375.0,2471.1,1043.3,1215.0,42.0,2160.0,municipality,novigrad
Novigrad - Cittanova,2021,321.7,26.58,160755.0,4133.6,6048.0,5.8,74.4,470.7,931122.0,23942.5,35030.9,12511.0,146.0,3889.0,municipality,novigrad cittanova
Novigrad - Cittanova,2022,322.9,26.58,222341.0,5717.2,8365.0,5.3,94.7,472.5,1189322.0,30581.7,44745.0,12559.0,146.0,3889.0,municipality,novigrad cittanova
Novigrad - Cittanova,2023,325.1,26.58,236455.0,6080.1,8896.0,5.1,95.7,475.7,1209846.0,31109.4,45517.2,12643.0,146.0,3889.0,municipality,novigrad cittanova
Novigrad - Cittanova,2024,326.0,26.58,240066.0,6172.9,9031.8,4.9,93.4,477.0,1184012.0,30445.2,44545.2,12679.0,146.0,3889.0,municipality,novigrad cittanova
Novigrad Podravski,2021,0.1,66.08,,,,,,0.0,,,,3.0,34.0,2300.0,municipality,novigrad podravski
Novigrad Podravski,2022,0.2,66.08,,,,,,0.1,,,,5.0,34.0,2300.0,municipality,novigrad podravski
Novigrad Podravski,2023,0.2,66.08,,,,,,0.1,,,,4.0,34.0,2300.0,municipality,novigrad podravski
Novigrad Podravski,2024,0.3,66.08,,,,,,0.1,,,,7.0,34.0,2300.0,municipality,novigrad podravski
Novo Virje,2021,,36.22,,,,,,,,,,,28.0,1026.0,municipality,novo virje
Novo Virje,2022,,36.22,,,,,,,,,,,28.0,1026.0,municipality,novo virje
Novo Virje,2023,,36.22,,,,,,,,,,,28.0,1026.0,municipality,novo virje
Novo Virje,2024,,36.22,,,,,,,,,,,28.0,1026.0,municipality,novo virje
Novska,2021,0.6,319.78,185.0,1.7,0.6,2.4,6.2,0.2,445.0,4.0,1.4,72.0,34.0,11137.0,municipality,novska
Novska,2022,0.6,319.78,161.0,1.4,0.5,2.5,6.0,0.2,404.0,3.6,1.3,67.0,34.0,11137.0,municipality,novska
Novska,2023,0.9,319.78,497.0,4.5,1.6,1.5,7.6,0.3,740.0,6.6,2.3,98.0,34.0,11137.0,municipality,novska
Novska,2024,1.3,319.78,793.0,7.1,2.5,1.4,7.9,0.4,1108.0,9.9,3.5,140.0,34.0,11137.0,municipality,novska
Nuštar,2021,0.5,43.47,,,,,,0.6,,,,25.0,111.0,4861.0,municipality,nustar
Nuštar,2022,0.3,43.47,,,,,,0.3,,,,15.0,111.0,4861.0,municipality,nustar
Nuštar,2023,0.3,43.47,,,,,,0.3,,,,14.0,111.0,4861.0,municipality,nustar
Nuštar,2024,0.5,43.47,283.0,5.8,6.5,5.4,60.8,0.6,1519.0,31.2,34.9,25.0,111.0,4861.0,municipality,nustar
Obrovac,2021,42.8,352.99,9343.0,270.6,26.5,6.9,43.7,4.2,64678.0,1873.1,183.2,1479.0,9.0,3453.0,municipality,obrovac
Obrovac,2022,45.4,352.99,,,,,,4.4,,,,1567.0,9.0,3453.0,municipality,obrovac
Obrovac,2023,49.4,352.99,12378.0,358.5,35.1,6.4,46.3,4.8,79069.0,2289.9,224.0,1706.0,9.0,3453.0,municipality,obrovac
Obrovac,2024,49.9,352.99,15212.0,440.5,43.1,5.7,50.2,4.9,86404.0,2502.3,244.8,1722.0,9.0,3453.0,municipality,obrovac
Ogulin,2021,5.6,538.14,19228.0,157.0,35.7,1.7,48.9,1.3,33283.0,271.8,61.8,681.0,22.0,12246.0,municipality,ogulin
Ogulin,2022,5.4,538.14,20097.0,164.1,37.3,1.8,53.1,1.2,35309.0,288.3,65.6,665.0,22.0,12246.0,municipality,ogulin
Ogulin,2023,5.9,538.14,23696.0,193.5,44.0,1.7,54.8,1.3,39641.0,323.7,73.7,724.0,22.0,12246.0,municipality,ogulin
Ogulin,2024,6.8,538.14,25378.0,207.2,47.2,1.6,48.2,1.6,40374.0,329.7,75.0,838.0,22.0,12246.0,municipality,ogulin
Okrug,2021,323.0,9.76,73214.0,2444.5,7501.4,7.3,55.0,991.1,531970.0,17761.9,54505.1,9673.0,306.0,2995.0,municipality,okrug
Okrug,2022,332.4,9.76,89072.0,2974.0,9126.2,7.1,63.1,1020.1,628074.0,20970.8,64351.8,9956.0,306.0,2995.0,municipality,okrug
Okrug,2023,344.8,9.76,94902.0,3168.7,9723.6,6.7,62.0,1058.1,640033.0,21370.1,65577.2,10327.0,306.0,2995.0,municipality,okrug
Okrug,2024,353.2,9.76,99378.0,3318.1,10182.2,6.6,62.1,1083.7,656775.0,21929.0,67292.5,10577.0,306.0,2995.0,municipality,okrug
Okučani,2021,0.6,159.64,,,,,,0.1,,,,15.0,14.0,2323.0,municipality,okucani
Okučani,2022,1.0,159.64,,,,,,0.2,,,,24.0,14.0,2323.0,municipality,okucani
Okučani,2023,1.0,159.64,,,,,,0.2,,,,24.0,14.0,2323.0,municipality,okucani
Okučani,2024,1.1,159.64,,,,,,0.2,,,,26.0,14.0,2323.0,municipality,okucani
Omiš,2021,103.3,266.17,125947.0,890.8,473.2,6.7,57.7,54.9,841703.0,5953.1,3162.3,14600.0,53.0,14139.0,municipality,omis
Omiš,2022,106.0,266.17,158003.0,1117.5,593.6,6.3,66.2,56.3,993074.0,7023.7,3731.0,14990.0,53.0,14139.0,municipality,omis
Omiš,2023,110.4,266.17,165086.0,1167.6,620.2,6.1,64.2,58.7,1002813.0,7092.5,3767.6,15612.0,53.0,14139.0,municipality,omis
Omiš,2024,112.8,266.17,175032.0,1237.9,657.6,6.0,65.8,59.9,1049693.0,7424.1,3943.7,15944.0,53.0,14139.0,municipality,omis
Omišalj,2021,251.2,39.23,122270.0,4086.6,3116.7,5.4,88.5,191.6,664955.0,22224.4,16950.2,7515.0,76.0,2992.0,municipality,omisalj
Omišalj,2022,258.5,39.23,168288.0,5624.6,4289.8,5.2,112.7,197.2,871805.0,29137.9,22222.9,7735.0,76.0,2992.0,municipality,omisalj
Omišalj,2023,267.3,39.23,182043.0,6084.3,4640.4,4.9,112.0,203.9,895526.0,29930.7,22827.6,7999.0,76.0,2992.0,municipality,omisalj
Omišalj,2024,274.5,39.23,176280.0,5891.7,4493.5,4.9,104.5,209.4,857983.0,28675.9,21870.6,8213.0,76.0,2992.0,municipality,omisalj
Opatija,2021,103.5,67.22,258721.0,2436.4,3848.9,3.5,82.5,163.5,906400.0,8535.6,13484.1,10993.0,157.0,10619.0,municipality,opatija
Opatija,2022,116.8,67.22,389308.0,3666.1,5791.6,3.3,104.7,184.4,1298281.0,12226.0,19313.9,12398.0,157.0,10619.0,municipality,opatija
Opatija,2023,117.1,67.22,432413.0,4072.1,6432.8,3.1,108.5,185.0,1349087.0,12704.5,20069.7,12435.0,157.0,10619.0,municipality,opatija
Opatija,2024,119.8,67.22,446747.0,4207.1,6646.0,3.0,107.0,189.3,1361164.0,12818.2,20249.4,12723.0,157.0,10619.0,municipality,opatija
Oprisavci,2021,0.2,59.73,,,,,,0.1,,,,4.0,32.0,1968.0,municipality,oprisavci
Oprisavci,2022,0.2,59.73,,,,,,0.1,,,,4.0,32.0,1968.0,municipality,oprisavci
Oprisavci,2023,0.2,59.73,,,,,,0.1,,,,4.0,32.0,1968.0,municipality,oprisavci
Oprisavci,2024,0.4,59.73,,,,,,0.1,,,,8.0,32.0,1968.0,municipality,oprisavci
Oprtalj - Portole,2021,93.9,61.02,8397.0,1122.6,137.6,3.9,47.1,11.5,33056.0,4419.3,541.7,702.0,12.0,748.0,municipality,oprtalj portole
Oprtalj - Portole,2022,98.4,61.02,11032.0,1474.9,180.8,4.0,59.9,12.1,44070.0,5891.7,722.2,736.0,12.0,748.0,municipality,oprtalj portole
Oprtalj - Portole,2023,94.7,61.02,8775.0,1173.1,143.8,4.2,51.6,11.6,36528.0,4883.4,598.6,708.0,12.0,748.0,municipality,oprtalj portole
Oprtalj - Portole,2024,91.2,61.02,3702.0,494.9,60.7,5.7,30.7,11.2,20940.0,2799.5,343.2,682.0,12.0,748.0,municipality,oprtalj portole
Opuzen,2021,12.2,24.63,438.0,15.4,17.8,7.2,9.1,14.1,3154.0,111.1,128.1,347.0,115.0,2838.0,municipality,opuzen
Opuzen,2022,11.8,24.63,630.0,22.2,25.6,6.7,12.6,13.6,4223.0,148.8,171.5,334.0,115.0,2838.0,municipality,opuzen
Opuzen,2023,12.6,24.63,808.0,28.5,32.8,5.9,13.4,14.5,4787.0,168.7,194.4,358.0,115.0,2838.0,municipality,opuzen
Opuzen,2024,13.5,24.63,1304.0,45.9,52.9,5.3,18.2,15.6,6957.0,245.1,282.5,383.0,115.0,2838.0,municipality,opuzen
Orahovica,2021,6.8,124.18,,,,,,2.5,,,,309.0,36.0,4537.0,municipality,orahovica
Orahovica,2022,6.7,124.18,,,,,,2.4,,,,303.0,36.0,4537.0,municipality,orahovica
Orahovica,2023,6.7,124.18,,,,,,2.4,,,,303.0,36.0,4537.0,municipality,orahovica
Orahovica,2024,7.0,124.18,,,,,,2.6,,,,317.0,36.0,4537.0,municipality,orahovica
Orebić,2021,281.5,131.32,89534.0,2416.6,681.8,7.9,67.7,79.4,706313.0,19063.8,5378.6,10431.0,28.0,3705.0,municipality,orebic
Orebić,2022,279.9,131.32,110739.0,2988.9,843.3,7.3,77.7,79.0,806304.0,21762.6,6140.0,10371.0,28.0,3705.0,municipality,orebic
Orebić,2023,286.6,131.32,119746.0,3232.0,911.9,6.9,78.0,80.8,827618.0,22337.9,6302.3,10617.0,28.0,3705.0,municipality,orebic
Orebić,2024,290.0,131.32,120445.0,3250.9,917.2,6.9,76.9,81.8,825953.0,22292.9,6289.6,10743.0,28.0,3705.0,municipality,orebic
Orehovica,2021,0.5,21.56,,,,,,0.6,,,,14.0,126.0,2720.0,municipality,orehovica
Orehovica,2022,0.5,21.56,,,,,,0.6,,,,14.0,126.0,2720.0,municipality,orehovica
Orehovica,2023,0.5,21.56,,,,,,0.6,,,,14.0,126.0,2720.0,municipality,orehovica
Orehovica,2024,0.5,21.56,,,,,,0.6,,,,14.0,126.0,2720.0,municipality,orehovica
Oriovac,2021,0.2,93.28,,,,,,0.1,,,,8.0,51.0,4770.0,municipality,oriovac
Oriovac,2022,0.4,93.28,326.0,6.8,3.5,2.0,34.3,0.2,651.0,13.6,7.0,19.0,51.0,4770.0,municipality,oriovac
Oriovac,2023,0.6,93.28,359.0,7.5,3.8,1.9,24.9,0.3,697.0,14.6,7.5,28.0,51.0,4770.0,municipality,oriovac
Oriovac,2024,0.6,93.28,275.0,5.8,2.9,2.4,23.8,0.3,665.0,13.9,7.1,28.0,51.0,4770.0,municipality,oriovac
Orle,2021,,58.57,,,,,,,,,,,30.0,1765.0,municipality,orle
Orle,2022,,58.57,,,,,,,,,,,30.0,1765.0,municipality,orle
Orle,2023,,58.57,,,,,,,,,,,30.0,1765.0,municipality,orle
Orle,2024,0.5,58.57,,,,,,0.1,,,,8.0,30.0,1765.0,municipality,orle
Oroslavje,2021,4.6,32.05,,,,,,8.4,,,,270.0,182.0,5834.0,municipality,oroslavje
Oroslavje,2022,2.5,32.05,,,,,,4.5,,,,144.0,182.0,5834.0,municipality,oroslavje
Oroslavje,2023,2.5,32.05,,,,,,4.6,,,,148.0,182.0,5834.0,municipality,oroslavje
Oroslavje,2024,2.7,32.05,,,,,,4.9,,,,156.0,182.0,5834.0,municipality,oroslavje
Osijek,2021,1.7,174.86,45642.0,47.4,261.0,2.1,59.3,9.4,97208.0,100.9,555.9,1639.0,550.0,96313.0,municipality,osijek
Osijek,2022,2.0,174.86,65122.0,67.6,372.4,2.0,68.4,11.0,131879.0,136.9,754.2,1928.0,550.0,96313.0,municipality,osijek
Osijek,2023,2.1,174.86,76241.0,79.2,436.0,2.0,75.6,11.8,155683.0,161.6,890.3,2059.0,550.0,96313.0,municipality,osijek
Osijek,2024,2.6,174.86,81396.0,84.5,465.5,1.9,62.5,14.4,157599.0,163.6,901.3,2522.0,550.0,96313.0,municipality,osijek
Otok,2021,1.3,136.48,274.0,5.5,2.9,8.0,47.4,0.5,2180.0,43.6,23.0,62.0,35.0,4899.0,municipality,otok
Otok,2022,1.3,136.48,,,,,,0.5,,,,62.0,35.0,4899.0,municipality,otok
Otok,2023,1.3,136.48,,,,,,0.5,,,,64.0,35.0,4899.0,municipality,otok
Otok,2024,1.3,136.48,,,,,,0.5,,,,64.0,35.0,4899.0,municipality,otok
Otočac,2021,9.5,564.97,14054.0,168.7,24.9,2.0,36.0,1.4,28512.0,342.2,50.5,792.0,14.0,8332.0,municipality,otocac
Otočac,2022,11.2,564.97,25966.0,311.6,46.0,1.7,48.2,1.7,44971.0,539.7,79.6,933.0,14.0,8332.0,municipality,otocac
Otočac,2023,11.3,564.97,41569.0,498.9,73.6,1.4,64.0,1.7,60110.0,721.4,106.4,939.0,14.0,8332.0,municipality,otocac
Otočac,2024,11.7,564.97,42228.0,506.8,74.7,1.4,60.5,1.7,58760.0,705.2,104.0,972.0,14.0,8332.0,municipality,otocac
Ozalj,2021,2.9,179.45,2548.0,43.7,14.2,2.0,30.2,0.9,5097.0,87.3,28.4,169.0,32.0,5837.0,municipality,ozalj
Ozalj,2022,3.2,179.45,3727.0,63.9,20.8,1.9,38.7,1.0,7194.0,123.2,40.1,186.0,32.0,5837.0,municipality,ozalj
Ozalj,2023,3.9,179.45,4688.0,80.3,26.1,1.9,38.3,1.3,8763.0,150.1,48.8,229.0,32.0,5837.0,municipality,ozalj
Ozalj,2024,4.4,179.45,5711.0,97.8,31.8,1.8,40.1,1.4,10302.0,176.5,57.4,257.0,32.0,5837.0,municipality,ozalj
Pag,2021,341.7,132.81,98844.0,3113.2,744.3,7.2,65.3,81.7,708747.0,22322.7,5336.5,10849.0,23.0,3175.0,municipality,pag
Pag,2022,339.0,132.81,118007.0,3716.8,888.5,7.0,77.1,81.0,830095.0,26144.7,6250.2,10764.0,23.0,3175.0,municipality,pag
Pag,2023,347.1,132.81,119784.0,3772.7,901.9,6.6,72.2,83.0,796109.0,25074.3,5994.3,11020.0,23.0,3175.0,municipality,pag
Pag,2024,344.6,132.81,124664.0,3926.4,938.7,6.5,74.6,82.4,816284.0,25709.7,6146.3,10941.0,23.0,3175.0,municipality,pag
Pakoštane,2021,266.9,83.49,81773.0,1994.5,979.4,7.3,54.3,131.1,594451.0,14498.8,7120.0,10943.0,49.0,4100.0,municipality,pakostane
Pakoštane,2022,269.6,83.49,99084.0,2416.7,1186.8,7.1,63.6,132.4,703115.0,17149.1,8421.5,11053.0,49.0,4100.0,municipality,pakostane
Pakoštane,2023,277.1,83.49,98825.0,2410.4,1183.7,6.9,60.4,136.1,685614.0,16722.3,8211.9,11360.0,49.0,4100.0,municipality,pakostane
Pakoštane,2024,279.9,83.49,104702.0,2553.7,1254.1,6.9,62.9,137.4,721460.0,17596.6,8641.3,11474.0,49.0,4100.0,municipality,pakostane
Pakrac,2021,1.7,358.2,1818.0,25.7,5.1,2.3,35.5,0.3,4266.0,60.2,11.9,120.0,19.0,7086.0,municipality,pakrac
Pakrac,2022,1.7,358.2,2120.0,29.9,5.9,2.2,38.2,0.3,4621.0,65.2,12.9,121.0,19.0,7086.0,municipality,pakrac
Pakrac,2023,1.7,358.2,2035.0,28.7,5.7,2.2,37.6,0.3,4508.0,63.6,12.6,120.0,19.0,7086.0,municipality,pakrac
Pakrac,2024,1.8,358.2,1935.0,27.3,5.4,2.3,35.2,0.4,4441.0,62.7,12.4,126.0,19.0,7086.0,municipality,pakrac
Pazin,2021,12.4,139.11,11470.0,138.5,82.5,5.7,63.7,7.4,65462.0,790.7,470.6,1028.0,59.0,8279.0,municipality,pazin
Pazin,2022,12.6,139.11,13161.0,159.0,94.6,5.8,72.8,7.5,75687.0,914.2,544.1,1040.0,59.0,8279.0,municipality,pazin
Pazin,2023,12.5,139.11,13629.0,164.6,98.0,5.5,73.0,7.4,75229.0,908.7,540.8,1031.0,59.0,8279.0,municipality,pazin
Pazin,2024,12.6,139.11,13652.0,164.9,98.1,5.3,69.8,7.5,72633.0,877.3,522.1,1041.0,59.0,8279.0,municipality,pazin
Pašman,2021,171.4,48.42,21460.0,1004.7,443.2,9.1,53.2,75.6,194648.0,9112.7,4020.0,3661.0,44.0,2136.0,municipality,pasman
Pašman,2022,170.8,48.42,23268.0,1089.3,480.5,9.0,57.2,75.3,208798.0,9775.2,4312.2,3648.0,44.0,2136.0,municipality,pasman
Pašman,2023,174.6,48.42,22972.0,1075.5,474.4,8.8,54.2,77.0,201969.0,9455.5,4171.2,3729.0,44.0,2136.0,municipality,pasman
Pašman,2024,174.6,48.42,,,,,,77.0,,,,3730.0,44.0,2136.0,municipality,pasman
Perušić,2021,6.6,382.99,1522.0,77.1,4.0,2.3,26.6,0.3,3462.0,175.5,9.0,130.0,5.0,1973.0,municipality,perusic
Perušić,2022,6.8,382.99,2323.0,117.7,6.1,2.1,36.6,0.4,4942.0,250.5,12.9,135.0,5.0,1973.0,municipality,perusic
Perušić,2023,7.7,382.99,2416.0,122.5,6.3,1.9,31.1,0.4,4699.0,238.2,12.3,151.0,5.0,1973.0,municipality,perusic
Perušić,2024,8.4,382.99,2504.0,126.9,6.5,2.0,30.5,0.4,5035.0,255.2,13.1,165.0,5.0,1973.0,municipality,perusic
Peteranec,2021,0.1,51.81,,,,,,0.0,,,,2.0,44.0,2300.0,municipality,peteranec
Peteranec,2022,0.1,51.81,,,,,,0.0,,,,2.0,44.0,2300.0,municipality,peteranec
Peteranec,2023,0.1,51.81,,,,,,0.0,,,,2.0,44.0,2300.0,municipality,peteranec
Peteranec,2024,,51.81,,,,,,,,,,,44.0,2300.0,municipality,peteranec
Petlovac,2021,0.6,93.58,,,,,,0.1,,,,12.0,20.0,1874.0,municipality,petlovac
Petlovac,2022,1.1,93.58,,,,,,0.2,,,,21.0,20.0,1874.0,municipality,petlovac
Petlovac,2023,,93.58,,,,,,,,,,,20.0,1874.0,municipality,petlovac
Petlovac,2024,0.2,93.58,,,,,,0.0,,,,4.0,20.0,1874.0,municipality,petlovac
Petrijanec,2021,0.4,47.93,,,,,,0.4,,,,18.0,94.0,4553.0,municipality,petrijanec
Petrijanec,2022,0.1,47.93,,,,,,0.1,,,,6.0,94.0,4553.0,municipality,petrijanec
Petrijanec,2023,0.2,47.93,,,,,,0.1,,,,7.0,94.0,4553.0,municipality,petrijanec
Petrijanec,2024,0.3,47.93,,,,,,0.3,,,,13.0,94.0,4553.0,municipality,petrijanec
Petrijevci,2021,1.1,55.06,,,,,,0.5,,,,27.0,45.0,2485.0,municipality,petrijevci
Petrijevci,2022,1.1,55.06,,,,,,0.5,,,,27.0,45.0,2485.0,municipality,petrijevci
Petrijevci,2023,1.1,55.06,,,,,,0.5,,,,27.0,45.0,2485.0,municipality,petrijevci
Petrijevci,2024,1.0,55.06,,,,,,0.5,,,,25.0,45.0,2485.0,municipality,petrijevci
Petrinja,2021,0.4,379.26,308.0,1.5,0.8,3.1,12.1,0.2,955.0,4.8,2.5,79.0,52.0,19950.0,municipality,petrinja
Petrinja,2022,0.6,379.26,374.0,1.9,1.0,3.2,10.7,0.3,1193.0,6.0,3.1,112.0,52.0,19950.0,municipality,petrinja
Petrinja,2023,0.6,379.26,743.0,3.7,2.0,2.7,17.6,0.3,1986.0,10.0,5.2,113.0,52.0,19950.0,municipality,petrinja
Petrinja,2024,0.9,379.26,947.0,4.7,2.5,2.6,13.8,0.5,2485.0,12.5,6.6,180.0,52.0,19950.0,municipality,petrinja
Petrovsko,2021,,18.86,,,,,,,,,,,120.0,2270.0,municipality,petrovsko
Petrovsko,2022,,18.86,,,,,,,,,,,120.0,2270.0,municipality,petrovsko
Petrovsko,2023,,18.86,,,,,,,,,,,120.0,2270.0,municipality,petrovsko
Petrovsko,2024,0.1,18.86,,,,,,0.1,,,,2.0,120.0,2270.0,municipality,petrovsko
Pirovac,2021,238.9,39.3,23090.0,1437.7,587.5,7.3,44.2,97.6,169504.0,10554.4,4313.1,3836.0,40.0,1606.0,municipality,pirovac
Pirovac,2022,240.0,39.3,27155.0,1690.8,691.0,7.2,51.0,98.1,196534.0,12237.5,5000.9,3855.0,40.0,1606.0,municipality,pirovac
Pirovac,2023,245.9,39.3,25725.0,1601.8,654.6,7.0,45.9,100.5,181225.0,11284.2,4611.3,3949.0,40.0,1606.0,municipality,pirovac
Pirovac,2024,237.0,39.3,26815.0,1669.7,682.3,6.8,47.9,96.9,182317.0,11352.2,4639.1,3807.0,40.0,1606.0,municipality,pirovac
Pisarovina,2021,3.3,145.38,2528.0,72.6,17.4,1.5,33.5,0.8,3883.0,111.5,26.7,116.0,23.0,3484.0,municipality,pisarovina
Pisarovina,2022,3.8,145.38,2903.0,83.3,20.0,1.5,32.8,0.9,4394.0,126.1,30.2,134.0,23.0,3484.0,municipality,pisarovina
Pisarovina,2023,3.5,145.38,2063.0,59.2,14.2,1.7,28.7,0.8,3507.0,100.7,24.1,122.0,23.0,3484.0,municipality,pisarovina
Pisarovina,2024,2.7,145.38,1980.0,56.8,13.6,1.7,35.9,0.6,3370.0,96.7,23.2,94.0,23.0,3484.0,municipality,pisarovina
Pitomača,2021,1.1,158.03,527.0,6.3,3.3,1.9,11.4,0.6,1019.0,12.1,6.4,89.0,53.0,8402.0,municipality,pitomaca
Pitomača,2022,0.7,158.03,437.0,5.2,2.8,2.0,14.5,0.4,871.0,10.4,5.5,60.0,53.0,8402.0,municipality,pitomaca
Pitomača,2023,0.7,158.03,409.0,4.9,2.6,3.0,22.1,0.4,1236.0,14.7,7.8,56.0,53.0,8402.0,municipality,pitomaca
Pitomača,2024,0.7,158.03,593.0,7.1,3.8,3.1,32.4,0.4,1817.0,21.6,11.5,56.0,53.0,8402.0,municipality,pitomaca
Pićan,2021,25.7,50.78,3726.0,216.4,73.4,8.0,67.8,8.7,29977.0,1740.8,590.3,442.0,33.0,1722.0,municipality,pican
Pićan,2022,26.6,50.78,4332.0,251.6,85.3,8.6,81.6,9.0,37352.0,2169.1,735.6,458.0,33.0,1722.0,municipality,pican
Pićan,2023,27.5,50.78,4998.0,290.2,98.4,8.1,85.3,9.3,40454.0,2349.2,796.7,474.0,33.0,1722.0,municipality,pican
Pićan,2024,30.0,50.78,4682.0,271.9,92.2,8.1,72.9,10.2,37706.0,2189.7,742.5,517.0,33.0,1722.0,municipality,pican
Plaški,2021,4.4,156.52,839.0,50.8,5.4,4.6,52.6,0.5,3839.0,232.7,24.5,73.0,10.0,1650.0,municipality,plaski
Plaški,2022,6.8,156.52,1329.0,80.5,8.5,4.1,48.6,0.7,5497.0,333.2,35.1,113.0,10.0,1650.0,municipality,plaski
Plaški,2023,6.6,156.52,1808.0,109.6,11.6,2.9,48.8,0.7,5322.0,322.5,34.0,109.0,10.0,1650.0,municipality,plaski
Plaški,2024,7.0,156.52,1773.0,107.5,11.3,3.2,48.6,0.7,5587.0,338.6,35.7,115.0,10.0,1650.0,municipality,plaski
Pleternica,2021,0.7,206.59,568.0,6.2,2.7,1.9,16.2,0.3,1099.0,12.0,5.3,68.0,44.0,9138.0,municipality,pleternica
Pleternica,2022,1.1,206.59,1037.0,11.3,5.0,2.0,20.6,0.5,2041.0,22.3,9.9,99.0,44.0,9138.0,municipality,pleternica
Pleternica,2023,5.6,206.59,1672.0,18.3,8.1,1.8,6.0,2.5,3073.0,33.6,14.9,509.0,44.0,9138.0,municipality,pleternica
Pleternica,2024,1.2,206.59,853.0,9.3,4.1,2.3,17.4,0.5,1944.0,21.3,9.4,112.0,44.0,9138.0,municipality,pleternica
Plitvička jezera,2021,113.1,469.04,129402.0,3546.2,275.9,1.6,51.7,8.8,213485.0,5850.5,455.2,4127.0,7.0,3649.0,municipality,plitvicka jezera
Plitvička jezera,2022,130.9,469.04,193675.0,5307.6,412.9,1.7,67.4,10.2,321992.0,8824.1,686.5,4777.0,7.0,3649.0,municipality,plitvicka jezera
Plitvička jezera,2023,148.6,469.04,251558.0,6893.9,536.3,1.6,72.8,11.6,394887.0,10821.8,841.9,5421.0,7.0,3649.0,municipality,plitvicka jezera
Plitvička jezera,2024,146.9,469.04,266634.0,7307.0,568.5,1.5,76.5,11.4,410293.0,11244.0,874.8,5362.0,7.0,3649.0,municipality,plitvicka jezera
Ploče,2021,8.5,132.13,5230.0,63.6,39.6,5.0,37.1,5.3,25967.0,315.9,196.5,699.0,62.0,8220.0,municipality,ploce
Ploče,2022,10.6,132.13,7051.0,85.8,53.4,4.9,40.2,6.6,34889.0,424.4,264.1,868.0,62.0,8220.0,municipality,ploce
Ploče,2023,10.8,132.13,9441.0,114.9,71.5,3.8,40.5,6.7,36112.0,439.3,273.3,891.0,62.0,8220.0,municipality,ploce
Ploče,2024,11.2,132.13,12151.0,147.8,92.0,3.8,49.8,6.9,45714.0,556.1,346.0,918.0,62.0,8220.0,municipality,ploce
Podbablje,2021,9.8,44.79,2246.0,55.7,50.1,9.1,51.3,8.9,20356.0,504.5,454.5,397.0,90.0,4035.0,municipality,podbablje
Podbablje,2022,11.8,44.79,,,,,,10.6,,,,476.0,90.0,4035.0,municipality,podbablje
Podbablje,2023,14.1,44.79,3560.0,88.2,79.5,9.2,57.3,12.7,32629.0,808.6,728.5,569.0,90.0,4035.0,municipality,podbablje
