"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Belišæe",8884,70.19,126,49,214,359,2.4,4.0,3.0,5.1,0.6,0.7,1.7,7.3,8884,70.19,126,163,302,773,3.4,8.7,4.3,11.0,1.8,2.3,2.6,4.7,8884,70.19,126,164,500,1281,5.6,14.4,7.1,18.3,1.8,2.3,2.6,7.8,8884,70.19,126,94,642,1545,7.2,17.4,9.1,22.0,1.1,1.3,2.4,16.4
"Bilje",4772,259.53,18,381,6088,12027,127.6,252.0,23.5,46.3,8.0,1.5,2.0,31.6,4772,259.53,18,430,8203,16246,171.9,340.4,31.6,62.6,9.0,1.7,2.0,37.8,4772,259.53,18,381,8412,15104,176.3,316.5,32.4,58.2,8.0,1.5,1.8,39.6,4772,259.53,18,396,7714,13048,161.7,273.4,29.7,50.3,8.3,1.5,1.7,32.9
"Bizovac",3733,100.59,37,124,z,z,z,z,z,z,3.3,1.2,z,z,3733,100.59,37,136,z,z,z,z,z,z,3.6,1.4,z,z,3733,100.59,37,132,z,z,z,z,z,z,3.5,1.3,z,z,3733,100.59,37,142,z,z,z,z,z,z,3.8,1.4,z,z
"Èeminac",2484,61.44,40,8,z,z,z,z,z,z,0.3,0.1,z,z,2484,61.44,40,18,z,z,z,z,z,z,0.7,0.3,z,z,2484,61.44,40,18,z,z,z,z,z,z,0.7,0.3,z,z,2484,61.44,40,18,z,z,z,z,z,z,0.7,0.3,z,z
"Èepin",9665,120.68,80,50,z,z,z,z,z,z,0.5,0.4,z,z,9665,120.68,80,36,z,z,z,z,z,z,0.4,0.3,z,z,9665,120.68,80,40,z,z,z,z,z,z,0.4,0.3,z,z,9665,120.68,80,164,10178,16544,105.3,171.2,84.3,137.1,1.7,1.4,1.6,100.9
"Darda",5427,94.13,57,16,z,z,z,z,z,z,0.3,0.2,z,z,5427,94.13,57,16,391,978,7.2,18.0,4.2,10.4,0.3,0.2,2.5,61.1,5427,94.13,57,20,438,906,8.1,16.7,4.7,9.6,0.4,0.2,2.1,45.3,5427,94.13,57,20,443,745,8.2,13.7,4.7,7.9,0.4,0.2,1.7,37.3
"Donja Motièina",1334,52.03,25,4,z,z,z,z,z,z,0.3,0.1,z,z,1334,52.03,25,4,z,z,z,z,z,z,0.3,0.1,z,z,1334,52.03,25,4,z,z,z,z,z,z,0.3,0.1,z,z,1334,52.03,25,4,z,z,z,z,z,z,0.3,0.1,z,z
"Donji Miholjac",8031,134.55,59,8,219,474,2.7,5.9,1.6,3.5,0.1,0.1,2.2,59.3,8031,134.55,59,22,361,719,4.5,9.0,2.7,5.3,0.3,0.2,2.0,32.7,8031,134.55,59,25,431,844,5.4,10.5,3.2,6.3,0.3,0.2,2.0,33.8,8031,134.55,59,38,574,1010,7.1,12.6,4.3,7.5,0.5,0.3,1.8,26.6
"Draž",1949,149.53,13,53,476,1330,24.4,68.2,3.2,8.9,2.7,0.4,2.8,25.1,1949,149.53,13,93,650,2045,33.4,104.9,4.3,13.7,4.8,0.6,3.1,22.0,1949,149.53,13,100,820,2356,42.1,120.9,5.5,15.8,5.1,0.7,2.9,23.6,1949,149.53,13,107,935,2473,48.0,126.9,6.3,16.5,5.5,0.7,2.6,23.1
"Drenje",2126,106.40,19,2,z,z,z,z,z,z,0.1,0.0,z,z,2126,106.40,19,2,z,z,z,z,z,z,0.1,0.0,z,z,2126,106.40,19,30,z,z,z,z,z,z,1.4,0.3,z,z,2126,106.40,19,29,z,z,z,z,z,z,1.4,0.3,z,z
"Ðakovo",23577,168.94,139,314,6094,13183,25.8,55.9,36.1,78.0,1.3,1.9,2.2,42.0,23577,168.94,139,317,9410,18226,39.9,77.3,55.7,107.9,1.3,1.9,1.9,57.5,23577,168.94,139,345,10445,21633,44.3,91.8,61.8,128.1,1.5,2.0,2.1,62.7,23577,168.94,139,396,11517,22153,48.8,94.0,68.2,131.1,1.7,2.3,1.9,55.9
"Ðurðenovac",5332,116.37,45,-,-,-,-,-,-,-,-,-,-,-,5332,116.37,45,-,-,-,-,-,-,-,-,-,-,-,5332,116.37,45,2,z,z,z,z,z,z,0.0,0.0,z,z,5332,116.37,45,-,-,-,-,-,-,-,-,-,-,-
"Erdut",5436,157.50,34,86,599,1246,11.0,22.9,3.8,7.9,1.6,0.5,2.1,14.5,5436,157.50,34,106,617,1541,11.4,28.3,3.9,9.8,1.9,0.7,2.5,14.5,5436,157.50,34,127,706,1817,13.0,33.4,4.5,11.5,2.3,0.8,2.6,14.3,5436,157.50,34,111,640,1819,11.8,33.5,4.1,11.5,2.0,0.7,2.8,16.4
"Ernestinovo",1948,32.04,60,-,-,-,-,-,-,-,-,-,-,-,1948,32.04,60,-,-,-,-,-,-,-,-,-,-,-,1948,32.04,60,-,-,-,-,-,-,-,-,-,-,-,1948,32.04,60,-,-,-,-,-,-,-,-,-,-,-
"Ferièanci",1725,45.79,37,39,z,z,z,z,z,z,2.3,0.9,z,z,1725,45.79,37,43,236,465,13.7,27.0,5.2,10.2,2.5,0.9,2.0,10.8,1725,45.79,37,43,z,z,z,z,z,z,2.5,0.9,z,z,1725,45.79,37,66,319,1243,18.5,72.1,7.0,27.1,3.8,1.4,3.9,18.8
"Gorjani",1246,50.92,24,-,-,-,-,-,-,-,-,-,-,-,1246,50.92,24,6,z,z,z,z,z,z,0.5,0.1,z,z,1246,50.92,24,6,z,z,z,z,z,z,0.5,0.1,z,z,1246,50.92,24,6,z,z,z,z,z,z,0.5,0.1,z,z
"Jagodnjak",1500,102.48,14,-,-,-,-,-,-,-,-,-,-,-,1500,102.48,14,-,-,-,-,-,-,-,-,-,-,-,1500,102.48,14,-,-,-,-,-,-,-,-,-,-,-,1500,102.48,14,-,-,-,-,-,-,-,-,-,-,-
"Kneževi Vinogradi",3357,249.61,13,281,4763,8504,141.9,253.3,19.1,34.1,8.4,1.1,1.8,30.3,3357,249.61,13,312,6561,10712,195.4,319.1,26.3,42.9,9.3,1.2,1.6,34.3,3357,249.61,13,354,6406,10970,190.8,326.8,25.7,43.9,10.5,1.4,1.7,31.0,3357,249.61,13,379,7932,13028,236.3,388.1,31.8,52.2,11.3,1.5,1.6,34.4
"Koška",3169,122.60,25,-,-,-,-,-,-,-,-,-,-,-,3169,122.60,25,2,z,z,z,z,z,z,0.1,0.0,z,z,3169,122.60,25,2,z,z,z,z,z,z,0.1,0.0,z,z,3169,122.60,25,2,z,z,z,z,z,z,0.1,0.0,z,z
"Levanjska Varoš",767,123.22,6,11,z,z,z,z,z,z,1.4,0.1,z,z,767,123.22,6,11,z,z,z,z,z,z,1.4,0.1,z,z,767,123.22,6,15,z,z,z,z,z,z,2.0,0.1,z,z,767,123.22,6,31,184,427,24.0,55.7,1.5,3.5,4.0,0.3,2.3,13.8
"Magadenovac",1579,112.86,13,4,z,z,z,z,z,z,0.3,0.0,z,z,1579,112.86,13,4,z,z,z,z,z,z,0.3,0.0,z,z,1579,112.86,13,6,z,z,z,z,z,z,0.4,0.1,z,z,1579,112.86,13,6,z,z,z,z,z,z,0.4,0.1,z,z
"Marijanci",1951,65.65,29,-,-,-,-,-,-,-,-,-,-,-,1951,65.65,29,-,-,-,-,-,-,-,-,-,-,-,1951,65.65,29,-,-,-,-,-,-,-,-,-,-,-,1951,65.65,29,-,-,-,-,-,-,-,-,-,-,-
"Našice",14291,205.18,69,135,3156,6708,22.1,46.9,15.4,32.7,0.9,0.7,2.1,49.7,14291,205.18,69,150,4308,7964,30.1,55.7,21.0,38.8,1.0,0.7,1.8,53.1,14291,205.18,69,148,5789,10900,40.5,76.3,28.2,53.1,1.0,0.7,1.9,73.6,14291,205.18,69,192,4610,10321,32.3,72.2,22.5,50.3,1.3,0.9,2.2,53.8
"Osijek",96313,174.86,550,1639,45642,97208,47.4,100.9,261.0,555.9,1.7,9.4,2.1,59.3,96313,174.86,550,1928,65122,131879,67.6,136.9,372.4,754.2,2.0,11.0,2.0,68.4,96313,174.86,550,2059,76241,155683,79.2,161.6,436.0,890.3,2.1,11.8,2.0,75.6,96313,174.86,550,2522,81396,157599,84.5,163.6,465.5,901.3,2.6,14.4,1.9,62.5
"Petlovac",1874,93.58,20,12,z,z,z,z,z,z,0.6,0.1,z,z,1874,93.58,20,21,z,z,z,z,z,z,1.1,0.2,z,z,1874,93.58,20,-,-,-,-,-,-,-,-,-,-,-,1874,93.58,20,4,z,z,z,z,z,z,0.2,0.0,z,z
"Petrijevci",2485,55.06,45,27,z,z,z,z,z,z,1.1,0.5,z,z,2485,55.06,45,27,z,z,z,z,z,z,1.1,0.5,z,z,2485,55.06,45,27,z,z,z,z,z,z,1.1,0.5,z,z,2485,55.06,45,25,z,z,z,z,z,z,1.0,0.5,z,z
"Podgoraè",2455,130.84,18,-,-,-,-,-,-,-,-,-,-,-,2455,130.84,18,-,-,-,-,-,-,-,-,-,-,-,2455,130.84,18,-,-,-,-,-,-,-,-,-,-,-,2455,130.84,18,-,-,-,-,-,-,-,-,-,-,-
"Podravska Moslavina",954,44.52,21,-,-,-,-,-,-,-,-,-,-,-,954,44.52,21,-,-,-,-,-,-,-,-,-,-,-,954,44.52,21,-,-,-,-,-,-,-,-,-,-,-,954,44.52,21,-,-,-,-,-,-,-,-,-,-,-
"Popovac",1446,62.44,23,7,z,z,z,z,z,z,0.5,0.1,z,z,1446,62.44,23,9,z,z,z,z,z,z,0.6,0.1,z,z,1446,62.44,23,10,191,545,13.2,37.7,3.1,8.7,0.7,0.2,2.9,54.5,1446,62.44,23,8,113,347,7.8,24.0,1.8,5.6,0.6,0.1,3.1,43.4
"Punitovci",1562,40.63,38,-,-,-,-,-,-,-,-,-,-,-,1562,40.63,38,-,-,-,-,-,-,-,-,-,-,-,1562,40.63,38,-,-,-,-,-,-,-,-,-,-,-,1562,40.63,38,-,-,-,-,-,-,-,-,-,-,-
"Satnica Ðakovaèka",1775,76.66,23,7,z,z,z,z,z,z,0.4,0.1,z,z,1775,76.66,23,7,z,z,z,z,z,z,0.4,0.1,z,z,1775,76.66,23,10,z,z,z,z,z,z,0.6,0.1,z,z,1775,76.66,23,10,z,z,z,z,z,z,0.6,0.1,z,z
"Semeljci",3558,101.60,35,-,-,-,-,-,-,-,-,-,-,-,3558,101.60,35,4,z,z,z,z,z,z,0.1,0.0,z,z,3558,101.60,35,4,z,z,z,z,z,z,0.1,0.0,z,z,3558,101.60,35,8,z,z,z,z,z,z,0.2,0.1,z,z
"Strizivojna",2027,36.90,54,-,-,-,-,-,-,-,-,-,-,-,2027,36.90,54,-,-,-,-,-,-,-,-,-,-,-,2027,36.90,54,-,-,-,-,-,-,-,-,-,-,-,2027,36.90,54,-,-,-,-,-,-,-,-,-,-,-
"Šodolovci",1217,73.38,16,-,-,-,-,-,-,-,-,-,-,-,1217,73.38,16,-,-,-,-,-,-,-,-,-,-,-,1217,73.38,16,-,-,-,-,-,-,-,-,-,-,-,1217,73.38,16,-,-,-,-,-,-,-,-,-,-,-
"Trnava",1251,82.85,15,13,z,z,z,z,z,z,1.0,0.2,z,z,1251,82.85,15,13,z,z,z,z,z,z,1.0,0.2,z,z,1251,82.85,15,17,z,z,z,z,z,z,1.4,0.2,z,z,1251,82.85,15,17,z,z,z,z,z,z,1.4,0.2,z,z
"Valpovo",9784,141.19,69,132,1446,3438,14.8,35.1,10.2,24.4,1.3,0.9,2.4,26.0,9784,141.19,69,123,983,2375,10.0,24.3,7.0,16.8,1.3,0.9,2.4,19.3,9784,141.19,69,173,1492,3099,15.2,31.7,10.6,21.9,1.8,1.2,2.1,17.9,9784,141.19,69,170,1075,2010,11.0,20.5,7.6,14.2,1.7,1.2,1.9,11.8
"Viljevo",1626,111.35,14,-,-,-,-,-,-,-,-,-,-,-,1626,111.35,14,-,-,-,-,-,-,-,-,-,-,-,1626,111.35,14,-,-,-,-,-,-,-,-,-,-,-,1626,111.35,14,-,-,-,-,-,-,-,-,-,-,-
"Viškovci",1496,44.02,33,-,-,-,-,-,-,-,-,-,-,-,1496,44.02,33,-,-,-,-,-,-,-,-,-,-,-,1496,44.02,33,-,-,-,-,-,-,-,-,-,-,-,1496,44.02,33,-,-,-,-,-,-,-,-,-,-,-
"Vladislavci",1552,32.01,48,-,-,-,-,-,-,-,-,-,-,-,1552,32.01,48,-,-,-,-,-,-,-,-,-,-,-,1552,32.01,48,-,-,-,-,-,-,-,-,-,-,-,1552,32.01,48,-,-,-,-,-,-,-,-,-,-,-
"Vuka",984,24.76,39,-,-,-,-,-,-,-,-,-,-,-,984,24.76,39,-,-,-,-,-,-,-,-,-,-,-,984,24.76,39,-,-,-,-,-,-,-,-,-,-,-,984,24.76,39,-,-,-,-,-,-,-,-,-,-,-
"County of Vukovar-Sirmium",143113,2449.35,58,2331,36069,67903,25.2,47.4,14.7,27.7,1.6,1.0,1.9,29.1,143113,2449.35,58,2341,75513,123683,52.8,86.4,30.8,50.5,1.6,1.0,1.6,52.8,143113,2449.35,58,2390,93801,150735,65.5,105.3,38.3,61.5,1.7,1.0,1.6,63.1,143113,2449.35,58,2726,95904,158101,67.0,110.5,39.2,64.5,1.9,1.1,1.6,58.0
"Andrijaševci",3441,39.65,86,-,-,-,-,-,-,-,-,-,-,-,3441,39.65,86,-,-,-,-,-,-,-,-,-,-,-,3441,39.65,86,8,z,z,z,z,z,z,0.2,0.2,z,z,3441,39.65,86,26,305,1069,8.9,31.1,7.7,27.0,0.8,0.7,3.5,41.1
"Babina Greda",2762,79.48,34,2,z,z,z,z,z,z,0.1,0.0,z,z,2762,79.48,34,-,-,-,-,-,-,-,-,-,-,-,2762,79.48,34,-,-,-,-,-,-,-,-,-,-,-,2762,79.48,34,27,z,z,z,z,z,z,1.0,0.3,z,z
"Bogdanovci",1545,51.62,29,-,-,-,-,-,-,-,-,-,-,-,1545,51.62,29,-,-,-,-,-,-,-,-,-,-,-,1545,51.62,29,-,-,-,-,-,-,-,-,-,-,-,1545,51.62,29,4,z,z,z,z,z,z,0.3,0.1,z,z
"Borovo",3555,28.20,126,2,z,z,z,z,z,z,0.1,0.1,z,z,3555,28.20,126,2,z,z,z,z,z,z,0.1,0.1,z,z,3555,28.20,126,2,z,z,z,z,z,z,0.1,0.1,z,z,3555,28.20,126,2,z,z,z,z,z,z,0.1,0.1,z,z
"Bošnjaci",2868,94.99,30,28,390,511,13.6,17.8,4.1,5.4,1.0,0.3,1.3,18.3,2868,94.99,30,30,698,1125,24.3,39.2,7.3,11.8,1.0,0.3,1.6,37.5,2868,94.99,30,39,700,1242,24.4,43.3,7.4,13.1,1.4,0.4,1.8,31.8,2868,94.99,30,39,459,679,16.0,23.7,4.8,7.1,1.4,0.4,1.5,17.4
"Cerna",3712,69.54,53,12,z,z,z,z,z,z,0.3,0.2,z,z,3712,69.54,53,14,z,z,z,z,z,z,0.4,0.2,z,z,3712,69.54,53,19,z,z,z,z,z,z,0.5,0.3,z,z,3712,69.54,53,19,195,697,5.3,18.8,2.8,10.0,0.5,0.3,3.6,36.7
"Drenovci",3662,200.27,18,-,-,-,-,-,-,-,-,-,-,-,3662,200.27,18,-,-,-,-,-,-,-,-,-,-,-,3662,200.27,18,-,-,-,-,-,-,-,-,-,-,-,3662,200.27,18,-,-,-,-,-,-,-,-,-,-,-
"Gradište",2227,57.63,38,14,z,z,z,z,z,z,0.6,0.2,z,z,2227,57.63,38,24,z,z,z,z,z,z,1.1,0.4,z,z,2227,57.63,38,29,525,762,23.6,34.2,9.1,13.2,1.3,0.5,1.5,26.3,2227,57.63,38,29,871,1146,39.1,51.5,15.1,19.9,1.3,0.5,1.3,39.5
"Gunja",2600,31.09,83,-,-,-,-,-,-,-,-,-,-,-,2600,31.09,83,-,-,-,-,-,-,-,-,-,-,-,2600,31.09,83,-,-,-,-,-,-,-,-,-,-,-,2600,31.09,83,-,-,-,-,-,-,-,-,-,-,-
"Ilok",5045,129.03,39,145,4664,6566,92.4,130.1,36.1,50.9,2.9,1.1,1.4,45.3,5045,129.03,39,156,5829,8536,115.5,169.2,45.2,66.2,3.1,1.2,1.5,54.7,5045,129.03,39,174,6497,9323,128.8,184.8,50.4,72.3,3.4,1.3,1.4,53.6,5045,129.03,39,208,5515,7823,109.3,155.1,42.7,60.6,4.1,1.6,1.4,37.6
"Ivankovo",6543,103.65,63,10,z,z,z,z,z,z,0.2,0.1,z,z,6543,103.65,63,10,z,z,z,z,z,z,0.2,0.1,z,z,6543,103.65,63,10,z,z,z,z,z,z,0.2,0.1,z,z,6543,103.65,63,14,z,z,z,z,z,z,0.2,0.1,z,z
"Jarmina",2016,12.95,155,-,-,-,-,-,-,-,-,-,-,-,2016,12.95,155,-,-,-,-,-,-,-,-,-,-,-,2016,12.95,155,-,-,-,-,-,-,-,-,-,-,-,2016,12.95,155,-,-,-,-,-,-,-,-,-,-,-
"Lovas",980,42.56,23,14,z,z,z,z,z,z,1.4,0.3,z,z,980,42.56,23,28,155,289,15.8,29.5,3.6,6.8,2.9,0.7,1.9,10.3,980,42.56,23,14,z,z,z,z,z,z,1.4,0.3,z,z,980,42.56,23,14,z,z,z,z,z,z,1.4,0.3,z,z
"Markušica",1773,73.77,24,-,-,-,-,-,-,-,-,-,-,-,1773,73.77,24,-,-,-,-,-,-,-,-,-,-,-,1773,73.77,24,-,-,-,-,-,-,-,-,-,-,-,1773,73.77,24,-,-,-,-,-,-,-,-,-,-,-
"Negoslavci",983,21.23,46,-,-,-,-,-,-,-,-,-,-,-,983,21.23,46,-,-,-,-,-,-,-,-,-,-,-,983,21.23,46,-,-,-,-,-,-,-,-,-,-,-,983,21.23,46,-,-,-,-,-,-,-,-,-,-,-
"Nijemci",3526,224.79,15,15,z,z,z,z,z,z,0.4,0.1,z,z,3526,224.79,15,15,248,355,7.0,10.1,1.1,1.6,0.4,0.1,1.4,23.7,3526,224.79,15,22,549,767,15.6,21.8,2.4,3.4,0.6,0.1,1.4,34.9,3526,224.79,15,29,981,1241,27.8,35.2,4.4,5.5,0.8,0.1,1.3,42.8
"Nuštar",4861,43.47,111,25,z,z,z,z,z,z,0.5,0.6,z,z,4861,43.47,111,15,z,z,z,z,z,z,0.3,0.3,z,z,4861,43.47,111,14,z,z,z,z,z,z,0.3,0.3,z,z,4861,43.47,111,25,283,1519,5.8,31.2,6.5,34.9,0.5,0.6,5.4,60.8
"Otok",4899,136.48,35,62,z,z,z,z,z,z,1.3,0.5,z,z,4899,136.48,35,62,z,z,z,z,z,z,1.3,0.5,z,z,4899,136.48,35,64,z,z,z,z,z,z,1.3,0.5,z,z,4899,136.48,35,64,z,z,z,z,z,z,1.3,0.5,z,z
"Privlaka",2192,52.45,41,-,-,-,-,-,-,-,-,-,-,-,2192,52.45,41,-,-,-,-,-,-,-,-,-,-,-,2192,52.45,41,-,-,-,-,-,-,-,-,-,-,-,2192,52.45,41,-,-,-,-,-,-,-,-,-,-,-
"Stari Jankovci",3271,95.24,34,4,z,z,z,z,z,z,0.1,0.0,z,z,3271,95.24,34,4,z,z,z,z,z,z,0.1,0.0,z,z,3271,95.24,34,-,-,-,-,-,-,-,-,-,-,-,3271,95.24,34,-,-,-,-,-,-,-,-,-,-,-
"Stari Mikanovci",2419,54.37,44,2,z,z,z,z,z,z,0.1,0.0,z,z,2419,54.37,44,2,z,z,z,z,z,z,0.1,0.0,z,z,2419,54.37,44,2,z,z,z,z,z,z,0.1,0.0,z,z,2419,54.37,44,2,z,z,z,z,z,z,0.1,0.0,z,z
"Štitar",1552,40.42,38,-,-,-,-,-,-,-,-,-,-,-,1552,40.42,38,7,z,z,z,z,z,z,0.5,0.2,z,z,1552,40.42,38,11,z,z,z,z,z,z,0.7,0.3,z,z,1552,40.42,38,11,z,z,z,z,z,z,0.7,0.3,z,z
"Tompojevci",1116,72.44,15,-,-,-,-,-,-,-,-,-,-,-,1116,72.44,15,-,-,-,-,-,-,-,-,-,-,-,1116,72.44,15,-,-,-,-,-,-,-,-,-,-,-,1116,72.44,15,-,-,-,-,-,-,-,-,-,-,-
"Tordinci",1657,50.19,33,18,z,z,z,z,z,z,1.1,0.4,z,z,1657,50.19,33,18,z,z,z,z,z,z,1.1,0.4,z,z,1657,50.19,33,18,z,z,z,z,z,z,1.1,0.4,z,z,1657,50.19,33,22,512,967,30.9,58.4,10.2,19.3,1.3,0.4,1.9,44.0
"Tovarnik",2067,64.50,32,10,z,z,z,z,z,z,0.5,0.2,z,z,2067,64.50,32,10,z,z,z,z,z,z,0.5,0.2,z,z,2067,64.50,32,10,z,z,z,z,z,z,0.5,0.2,z,z,2067,64.50,32,16,z,z,z,z,z,z,0.8,0.2,z,z
"Trpinja",4167,122.81,33,-,-,-,-,-,-,-,-,-,-,-,4167,122.81,33,-,-,-,-,-,-,-,-,-,-,-,4167,122.81,33,-,-,-,-,-,-,-,-,-,-,-,4167,122.81,33,-,-,-,-,-,-,-,-,-,-,-
"Vinkovci",30842,94.19,327,943,16582,33316,53.8,108.0,176.0,353.7,3.1,10.0,2.0,35.3,30842,94.19,327,930,24945,45577,80.9,147.8,264.8,483.9,3.0,9.9,1.8,49.0,30842,94.19,327,878,25101,46063,81.4,149.4,266.5,489.0,2.8,9.3,1.8,52.5,30842,94.19,327,960,28560,51108,92.6,165.7,303.2,542.6,3.1,10.2,1.8,53.2
"Voðinci",1634,20.76,78,-,-,-,-,-,-,-,-,-,-,-,1634,20.76,78,-,-,-,-,-,-,-,-,-,-,-,1634,20.76,78,-,-,-,-,-,-,-,-,-,-,-,1634,20.76,78,-,-,-,-,-,-,-,-,-,-,-
"Vrbanja",2870,191.28,15,31,z,z,z,z,z,z,1.1,0.2,z,z,2870,191.28,15,41,218,559,7.6,19.5,1.1,2.9,1.4,0.2,2.6,13.6,2870,191.28,15,37,251,404,8.7,14.1,1.3,2.1,1.3,0.2,1.6,10.9,2870,191.28,15,37,z,z,z,z,z,z,1.3,0.2,z,z
"Vukovar",23175,100.10,231,901,9978,19813,43.1,85.5,99.7,197.9,3.9,9.0,2.0,22.0,23175,100.10,231,890,37660,57610,162.5,248.6,376.2,575.5,3.8,8.9,1.5,64.7,23175,100.10,231,947,54186,81008,233.8,349.5,541.3,809.3,4.1,9.5,1.5,85.5,23175,100.10,231,1050,51325,80201,221.5,346.1,512.7,801.2,4.5,10.5,1.6,76.4
"Županja",9153,50.20,182,93,2168,3503,23.7,38.3,43.2,69.8,1.0,1.9,1.6,37.7,9153,50.20,182,83,2760,4493,30.2,49.1,55.0,89.5,0.9,1.7,1.6,54.1,9153,50.20,182,92,3035,5724,33.2,62.5,60.5,114.0,1.0,1.8,1.9,62.2,9153,50.20,182,128,3303,5781,36.1,63.2,65.8,115.2,1.4,2.5,1.8,45.2
"Adriatic Croatia",1298522,24691.33,53,1028793,11349656,67231198,874.0,5177.5,459.7,2722.9,79.2,41.7,5.9,65.3,1298522,24691.33,53,1062930,15601312,85607157,1201.5,6592.7,631.9,3467.1,81.9,43.0,5.5,80.5,1298522,24691.33,53,1085563,16934300,87351814,1304.1,6727.0,685.8,3537.8,83.6,44.0,5.2,80.5,1298522,24691.33,53,1104301,17503487,88419547,1348.0,6809.2,708.9,3581.0,85.0,44.7,5.1,80.1
"County of Primorje-Gorski kotar",265419,3589.34,74,184438,2212424,12446206,833.6,4689.3,616.4,3467.5,69.5,51.4,5.6,67.5,265419,3589.34,74,188693,2918929,15512719,1099.7,5844.6,813.2,4321.9,71.1,52.6,5.3,82.2,265419,3589.34,74,191487,3071852,15599876,1157.4,5877.5,855.8,4346.2,72.1,53.3,5.1,81.5,265419,3589.34,74,194246,3092963,15416334,1165.3,5808.3,861.7,4295.0,73.2,54.1,5.0,79.4
"Bakar",7573,125.46,60,367,3224,19064,42.6,251.7,25.7,152.0,4.8,2.9,5.9,51.9,7573,125.46,60,337,4077,23195,53.8,306.3,32.5,184.9,4.5,2.7,5.7,68.8,7573,125.46,60,372,3845,23863,50.8,315.1,30.6,190.2,4.9,3.0,6.2,64.1,7573,125.46,60,389,3828,23292,50.5,307.6,30.5,185.7,5.1,3.1,6.1,59.9
"Baška",1656,98.91,16,10578,145727,837894,8799.9,50597.5,1473.3,8471.3,638.8,106.9,5.7,79.2,1656,98.91,16,10618,177982,1007383,10747.7,60832.3,1799.4,10184.8,641.2,107.4,5.7,94.9,1656,98.91,16,10704,181834,1001354,10980.3,60468.2,1838.4,10123.9,646.4,108.2,5.5,93.5,1656,98.91,16,10730,174244,968671,10522.0,58494.6,1761.6,9793.5,647.9,108.5,5.6,90.3
"Brod Moravice",663,62.02,10,39,339,1044,51.1,157.5,5.5,16.8,5.9,0.6,3.1,26.8,663,62.02,10,59,911,2685,137.4,405.0,14.7,43.3,8.9,1.0,2.9,45.5,663,62.02,10,76,1184,3351,178.6,505.4,19.1,54.0,11.5,1.2,2.8,44.1,663,62.02,10,77,1046,3169,157.8,478.0,16.9,51.1,11.6,1.2,3.0,41.2
"Cres",2716,291.49,9,10245,106817,786744,3932.9,28967.0,366.5,2699.0,377.2,35.1,7.4,76.8,2716,291.49,9,10381,127729,931436,4702.8,34294.4,438.2,3195.4,382.2,35.6,7.3,89.7,2716,291.49,9,10342,131664,957123,4847.7,35240.2,451.7,3283.6,380.8,35.5,7.3,92.5,2716,291.49,9,11585,128477,928031,4730.4,34169.0,440.8,3183.7,426.5,39.7,7.2,80.1
"Crikvenica",9980,28.52,349,23172,256788,1424021,2573.0,14268.7,9003.8,49930.6,232.2,812.5,5.5,61.5,9980,28.52,349,23104,350029,1820173,3507.3,18238.2,12273.1,63820.9,231.5,810.1,5.2,78.8,9980,28.52,349,23106,366219,1830508,3669.5,18341.8,12840.8,64183.3,231.5,810.2,5.0,79.2,9980,28.52,349,22369,361310,1756740,3620.3,17602.6,12668.7,61596.8,224.1,784.3,4.9,78.5
