"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Bariloviæ",2673,175.60,15,70,742,2397,27.8,89.7,4.2,13.7,2.6,0.4,3.2,34.2,2673,175.60,15,78,803,2712,30.0,101.5,4.6,15.4,2.9,0.4,3.4,34.8,2673,175.60,15,88,1443,3933,54.0,147.1,8.2,22.4,3.3,0.5,2.7,44.7,2673,175.60,15,113,1221,3941,45.7,147.4,7.0,22.4,4.2,0.6,3.2,34.9
"Bosiljevo",1040,111.46,9,90,1077,2795,103.6,268.8,9.7,25.1,8.7,0.8,2.6,31.1,1040,111.46,9,83,1306,3726,125.6,358.3,11.7,33.4,8.0,0.7,2.9,44.9,1040,111.46,9,83,1546,4878,148.7,469.0,13.9,43.8,8.0,0.7,3.2,58.8,1040,111.46,9,82,1330,3862,127.9,371.3,11.9,34.6,7.9,0.7,2.9,47.1
"Cetingrad",1491,136.82,10,8,z,z,z,z,z,z,0.5,0.1,z,z,1491,136.82,10,18,z,z,z,z,z,z,1.2,0.1,z,z,1491,136.82,10,21,z,z,z,z,z,z,1.4,0.2,z,z,1491,136.82,10,21,535,1047,35.9,70.2,3.9,7.7,1.4,0.2,2.0,49.9
"Draganiæ",2541,72.55,35,24,z,z,z,z,z,z,0.9,0.3,z,z,2541,72.55,35,23,z,z,z,z,z,z,0.9,0.3,z,z,2541,72.55,35,24,z,z,z,z,z,z,0.9,0.3,z,z,2541,72.55,35,24,z,z,z,z,z,z,0.9,0.3,z,z
"Duga Resa",10212,60.91,167,648,16787,34090,164.4,333.8,275.6,559.7,6.3,10.6,2.0,52.6,10212,60.91,167,698,19773,42847,193.6,419.6,324.6,703.4,6.8,11.5,2.2,61.4,10212,60.91,167,734,21741,47215,212.9,462.3,356.9,775.2,7.2,12.1,2.2,64.3,10212,60.91,167,797,22815,49048,223.4,480.3,374.6,805.3,7.8,13.1,2.1,61.5
"Generalski Stol",2171,100.00,21,252,2481,5827,114.3,268.4,24.8,58.3,11.6,2.5,2.3,23.1,2171,100.00,21,250,2619,6998,120.6,322.3,26.2,70.0,11.5,2.5,2.7,28.0,2171,100.00,21,203,2057,5698,94.7,262.5,20.6,57.0,9.4,2.0,2.8,28.1,2171,100.00,21,205,1872,5270,86.2,242.7,18.7,52.7,9.4,2.0,2.8,25.7
"Josipdol",3419,167.21,20,110,2890,4307,84.5,126.0,17.3,25.8,3.2,0.7,1.5,39.2,3419,167.21,20,125,3763,5993,110.1,175.3,22.5,35.8,3.7,0.7,1.6,47.9,3419,167.21,20,145,5563,8775,162.7,256.7,33.3,52.5,4.2,0.9,1.6,60.5,3419,167.21,20,174,5531,8532,161.8,249.5,33.1,51.0,5.1,1.0,1.5,49.0
"Kamanje",827,14.64,56,19,159,782,19.2,94.6,10.9,53.4,2.3,1.3,4.9,41.2,827,14.64,56,19,154,670,18.6,81.0,10.5,45.8,2.3,1.3,4.4,35.3,827,14.64,56,16,z,z,z,z,z,z,1.9,1.1,z,z,827,14.64,56,19,123,455,14.9,55.0,8.4,31.1,2.3,1.3,3.7,23.9
"Karlovac",49377,401.11,123,1321,24518,40327,49.7,81.7,61.1,100.5,2.7,3.3,1.6,30.5,49377,401.11,123,1421,38390,62885,77.7,127.4,95.7,156.8,2.9,3.5,1.6,44.3,49377,401.11,123,1442,49240,75543,99.7,153.0,122.8,188.3,2.9,3.6,1.5,52.4,49377,401.11,123,1549,44291,71706,89.7,145.2,110.4,178.8,3.1,3.9,1.6,46.3
"Krnjak",1332,111.82,11,6,z,z,z,z,z,z,0.5,0.1,z,z,1332,111.82,11,17,z,z,z,z,z,z,1.3,0.2,z,z,1332,111.82,11,27,403,632,30.3,47.4,3.6,5.7,2.0,0.2,1.6,23.4,1332,111.82,11,24,355,461,26.7,34.6,3.2,4.1,1.8,0.2,1.3,19.2
"Lasinja",1322,82.13,16,12,z,z,z,z,z,z,0.9,0.1,z,z,1322,82.13,16,16,237,1314,17.9,99.4,2.9,16.0,1.2,0.2,5.5,82.1,1322,82.13,16,18,z,z,z,z,z,z,1.4,0.2,z,z,1322,82.13,16,27,287,1288,21.7,97.4,3.5,15.7,2.0,0.3,4.5,47.7
"Netretiæ",2439,113.61,21,167,4016,5607,164.7,229.9,35.3,49.4,6.8,1.5,1.4,33.6,2439,113.61,21,167,7698,10031,315.6,411.3,67.8,88.3,6.8,1.5,1.3,60.1,2439,113.61,21,179,11869,14613,486.6,599.1,104.5,128.6,7.3,1.6,1.2,81.6,2439,113.61,21,182,11455,13344,469.7,547.1,100.8,117.5,7.5,1.6,1.2,73.3
"Ogulin",12246,538.14,22,681,19228,33283,157.0,271.8,35.7,61.8,5.6,1.3,1.7,48.9,12246,538.14,22,665,20097,35309,164.1,288.3,37.3,65.6,5.4,1.2,1.8,53.1,12246,538.14,22,724,23696,39641,193.5,323.7,44.0,73.7,5.9,1.3,1.7,54.8,12246,538.14,22,838,25378,40374,207.2,329.7,47.2,75.0,6.8,1.6,1.6,48.2
"Ozalj",5837,179.45,32,169,2548,5097,43.7,87.3,14.2,28.4,2.9,0.9,2.0,30.2,5837,179.45,32,186,3727,7194,63.9,123.2,20.8,40.1,3.2,1.0,1.9,38.7,5837,179.45,32,229,4688,8763,80.3,150.1,26.1,48.8,3.9,1.3,1.9,38.3,5837,179.45,32,257,5711,10302,97.8,176.5,31.8,57.4,4.4,1.4,1.8,40.1
"Plaški",1650,156.52,10,73,839,3839,50.8,232.7,5.4,24.5,4.4,0.5,4.6,52.6,1650,156.52,10,113,1329,5497,80.5,333.2,8.5,35.1,6.8,0.7,4.1,48.6,1650,156.52,10,109,1808,5322,109.6,322.5,11.6,34.0,6.6,0.7,2.9,48.8,1650,156.52,10,115,1773,5587,107.5,338.6,11.3,35.7,7.0,0.7,3.2,48.6
"Rakovica",2230,256.39,8,4359,113352,197430,5083.0,8853.4,442.1,770.0,195.5,17.0,1.7,45.3,2230,256.39,8,4494,146647,262711,6576.1,11780.8,572.0,1024.7,201.5,17.5,1.8,58.5,2230,256.39,8,4411,160916,283036,7216.0,12692.2,627.6,1103.9,197.8,17.2,1.8,64.2,2230,256.39,8,4384,151967,263082,6814.7,11797.4,592.7,1026.1,196.6,17.1,1.7,60.0
